,0
180,857029823797047296
181,856602993587888130
182,856543823941562368
183,856526610513747968
184,856330835276025856
185,856288084350160898
186,856282028240666624
187,855862651834028034
188,855860136149123072
189,855857698524602368
190,855851453814013952
191,855818117272018944
192,855459453768019968
193,855245323840757760
194,855138241867124737
195,854732716440526848
196,854482394044301312
197,854365224396361728
198,854120357044912130
199,854010172552949760
200,853760880890318849
201,853639147608842240
202,853299958564483072
203,852936405516943360
204,852912242202992640
205,852672615818899456
206,852553447878664193
207,852311364735569921
208,852226086759018497
209,852189679701164033
210,851953902622658560
211,851861385021730816
212,851591660324737024
213,851464819735769094
214,851224888060895234
215,850753642995093505
216,850380195714523136
217,850333567704068097
218,850145622816686080
219,850019790995546112
220,849776966551130114
221,849668094696017920
222,849412302885593088
223,849336543269576704
224,849051919805034497
225,848690551926992896
226,848324959059550208
227,848213670039564288
228,848212111729840128
229,847978865427394560
230,847971574464610304
231,847962785489326080
232,847842811428974592
233,847617282490613760
234,847606175596138505
235,847251039262605312
236,847157206088847362
237,847116187444137987
238,846874817362120707
239,846514051647705089
240,846505985330044928
241,846153765933735936
242,846139713627017216
243,846042936437604353
244,845812042753855489
245,845677943972139009
246,845459076796616705
247,845397057150107648
248,845306882940190720
249,845098359547420673
250,844979544864018432
251,844973813909606400
252,844704788403113984
253,844580511645339650
254,844223788422217728
255,843981021012017153
256,843856843873095681
257,843604394117681152
258,843235543001513987
259,842892208864923648
260,842846295480000512
261,842765311967449089
262,842535590457499648
263,842163532590374912
264,842115215311396866
265,841833993020538882
266,841680585030541313
267,841439858740625411
268,841320156043304961
269,841314665196081154
270,841077006473256960
271,840761248237133825
272,840728873075638272
273,840698636975636481
274,840696689258311684
275,840632337062862849
276,840370681858686976
277,840268004936019968
278,839990271299457024
279,839549326359670784
280,839290600511926273
281,839239871831150596
282,838952994649550848
283,838921590096166913
284,838916489579200512
285,838831947270979586
286,838561493054533637
287,838476387338051585
288,838201503651401729
289,838150277551247360
290,838085839343206401
291,838083903487373313
292,837820167694528512
293,837482249356513284
294,837471256429613056
295,837366284874571778
296,837110210464448512
297,837012587749474308
298,836989968035819520
299,836753516572119041
300,836677758902222849
301,836648853927522308
302,836397794269200385
303,836380477523124226
304,836260088725786625
305,836001077879255040
306,835685285446955009
307,835574547218894849
308,835536468978302976
309,835309094223372289
310,835297930240217089
311,835264098648616962
312,835246439529840640
313,835172783151792128
314,835152434251116546
315,834931633769889797
316,834786237630337024
317,834574053763584002
318,834477809192075265
319,834458053273591808
320,834209720923721728
321,834167344700198914
322,834089966724603904
323,834086379323871233
324,833863086058651648
325,833826103416520705
326,833732339549220864
327,833722901757046785
328,833479644947025920
329,833124694597443584
330,832998151111966721
331,832769181346996225
332,832757312314028032
333,832682457690300417
334,832645525019123713
335,832636094638288896
336,832397543355072512
337,832369877331693569
338,832273440279240704
339,832215909146226688
340,832215726631055365
341,832088576586297345
342,832040443403784192
343,832032802820481025
344,831939777352105988
345,831926988323639298
346,831911600680497154
347,831670449226514432
348,831650051525054464
349,831552930092285952
350,831322785565769729
351,831315979191906304
352,831309418084069378
353,831262627380748289
354,830956169170665475
355,830583320585068544
356,830173239259324417
357,830097400375152640
358,829878982036299777
359,829861396166877184
360,829501995190984704
361,829449946868879360
362,829374341691346946
363,829141528400556032
364,829011960981237760
365,828801551087042563
366,828770345708580865
367,828708714936930305
368,828650029636317184
369,828409743546925057
370,828408677031882754
371,828381636999917570
372,828376505180889089
373,828372645993398273
374,828361771580813312
375,828046555563323392
376,828011680017821696
377,827933404142436356
378,827653905312006145
379,827600520311402496
380,827324948884643840
381,827228250799742977
382,827199976799354881
383,826958653328592898
384,826848821049180160
385,826615380357632002
386,826598799820865537
387,826598365270007810
388,826476773533745153
389,826240494070030336
390,826204788643753985
391,826115272272650244
392,825876512159186944
393,825829644528148480
394,825535076884762624
395,825147591692263424
396,825120256414846976
397,825026590719483904
398,824796380199809024
399,824775126675836928
400,824663926340194305
401,824325613288833024
402,824297048279236611
403,824025158776213504
404,823939628516474880
405,823719002937630720
406,823699002998870016
407,823581115634085888
408,823333489516937216
409,823322678127919110
410,823269594223824897
411,822975315408461824
412,822872901745569793
413,822859134160621569
414,822647212903690241
415,822610361945911296
416,822489057087389700
417,822462944365645825
418,822244816520155136
419,822163064745328640
420,821886076407029760
421,821813639212650496
422,821765923262631936
423,821522889702862852
424,821421320206483457
425,821407182352777218
426,821153421864615936
